dataset,true_class,pred_class,count,row_fraction
DS2,N,N,40877,0.9280524905780321
DS2,N,S,495,0.011238250919493258
DS2,N,V,1669,0.03789220360532171
DS2,N,F,1005,0.022817054897152977
DS2,N,Q,0,0.0
DS2,S,N,1553,0.8486338797814208
DS2,S,S,145,0.07923497267759563
DS2,S,V,97,0.053005464480874315
DS2,S,F,35,0.01912568306010929
DS2,S,Q,0,0.0
DS2,V,N,450,0.1403180542563143
DS2,V,S,17,0.005300904271905207
DS2,V,V,2729,0.8509510445899595
DS2,V,F,11,0.0034299968818210166
DS2,V,Q,0,0.0
DS2,F,N,359,0.9252577319587629
DS2,F,S,0,0.0
DS2,F,V,28,0.07216494845360824
DS2,F,F,1,0.002577319587628866
DS2,F,Q,0,0.0
DS2,Q,N,1,0.14285714285714285
DS2,Q,S,0,0.0
DS2,Q,V,6,0.8571428571428571
DS2,Q,F,0,0.0
DS2,Q,Q,0,0.0
INCART,N,N,143382,0.9371556305025589
INCART,N,S,2031,0.013274770093531245
INCART,N,V,5820,0.03803996156787388
INCART,N,F,1764,0.011529637836036001
INCART,N,Q,0,0.0
INCART,S,N,1650,0.8448540706605223
INCART,S,S,90,0.04608294930875576
INCART,S,V,205,0.10496671786994367
INCART,S,F,8,0.00409626216077829
INCART,S,Q,0,0.0
INCART,V,N,2787,0.1398745294855709
INCART,V,S,1047,0.052547051442910914
INCART,V,V,15706,0.7882559598494354
INCART,V,F,385,0.01932245922208281
INCART,V,Q,0,0.0
INCART,F,N,89,0.4063926940639269
INCART,F,S,1,0.0045662100456621
INCART,F,V,43,0.1963470319634703
INCART,F,F,86,0.3926940639269406
INCART,F,Q,0,0.0
INCART,Q,N,3,0.5
INCART,Q,S,0,0.0
INCART,Q,V,3,0.5
INCART,Q,F,0,0.0
INCART,Q,Q,0,0.0
SVDB,N,N,153561,0.9502301923219723
SVDB,N,S,2261,0.013990990322021732
SVDB,N,V,4875,0.030166332516521868
SVDB,N,F,907,0.0056124848394841715
SVDB,N,Q,0,0.0
SVDB,S,N,9138,0.7519131078745989
SVDB,S,S,1549,0.12745824076359746
SVDB,S,V,1398,0.11503332510491236
SVDB,S,F,68,0.005595326256891303
SVDB,S,Q,0,0.0
SVDB,V,N,1534,0.15480875971339186
SVDB,V,S,617,0.06226662629932385
SVDB,V,V,7715,0.778585124634171
SVDB,V,F,43,0.004339489353113331
SVDB,V,Q,0,0.0
SVDB,F,N,19,0.8260869565217391
SVDB,F,S,0,0.0
SVDB,F,V,3,0.13043478260869565
SVDB,F,F,1,0.043478260869565216
SVDB,F,Q,0,0.0
SVDB,Q,N,32,0.4050632911392405
SVDB,Q,S,23,0.2911392405063291
SVDB,Q,V,22,0.27848101265822783
SVDB,Q,F,2,0.02531645569620253
SVDB,Q,Q,0,0.0
