stage,bin_lo,bin_hi,n,confidence,accuracy
before,0.0,0.06666666666666667,0,,
before,0.06666666666666667,0.13333333333333333,0,,
before,0.13333333333333333,0.2,0,,
before,0.2,0.26666666666666666,0,,
before,0.26666666666666666,0.3333333333333333,71,0.31360214948654175,0.3380281690140845
before,0.3333333333333333,0.4,647,0.374715119600296,0.437403400309119
before,0.4,0.4666666666666667,2014,0.4379308819770813,0.5302879841112215
before,0.4666666666666667,0.5333333333333333,3128,0.5011215806007385,0.6492966751918159
before,0.5333333333333333,0.6,3679,0.5667701959609985,0.7406904050013591
before,0.6,0.6666666666666666,4155,0.6337392926216125,0.7889290012033694
before,0.6666666666666666,0.7333333333333333,4841,0.70073401927948,0.8576740342904359
before,0.7333333333333333,0.8,5967,0.7687445282936096,0.9366515837104072
before,0.8,0.8666666666666667,8420,0.8340365886688232,0.9782660332541567
before,0.8666666666666667,0.9333333333333333,7574,0.8983819484710693,0.9856086612094006
before,0.9333333333333333,1.0,8982,0.9774490594863892,0.9908706301491873
after,0.0,0.06666666666666667,0,,
after,0.06666666666666667,0.13333333333333333,0,,
after,0.13333333333333333,0.2,0,,
after,0.2,0.26666666666666666,0,,
after,0.26666666666666666,0.3333333333333333,36,0.31045058369636536,0.2777777777777778
after,0.3333333333333333,0.4,303,0.3744761645793915,0.3795379537953795
after,0.4,0.4666666666666667,990,0.43844345211982727,0.45252525252525255
after,0.4666666666666667,0.5333333333333333,2318,0.5018754005432129,0.5474547023295945
after,0.5333333333333333,0.6,2722,0.567130446434021,0.6803820720058781
after,0.6,0.6666666666666666,3198,0.6342933773994446,0.7439024390243902
after,0.6666666666666666,0.7333333333333333,3613,0.7008623480796814,0.7996125103791862
after,0.7333333333333333,0.8,4164,0.7678748965263367,0.8451008645533141
after,0.8,0.8666666666666667,5810,0.8354289531707764,0.9153184165232358
after,0.8666666666666667,0.9333333333333333,8985,0.9026280641555786,0.9686143572621035
after,0.9333333333333333,1.0,17339,0.9762741327285767,0.9885806563238941
