optimiser,evaluations,mean,q25,q75
CMA-ES,0,8.31377617518107,7.077344179153442,10.183243989944458
CMA-ES,250,1.283936583995819,1.0901961922645569,1.4815448820590973
CMA-ES,500,0.7757946610450744,0.7154617756605148,0.8317536860704422
CMA-ES,750,0.678075788418452,0.6347893178462982,0.7099265158176422
CMA-ES,1000,0.6196382164955139,0.5858756601810455,0.6603911817073822
CMA-ES,1250,0.5722997615734736,0.5200107842683792,0.6107566952705383
CMA-ES,1500,0.5516680330038071,0.5079066306352615,0.6053123474121094
CMA-ES,1750,0.5171925256649653,0.479876846075058,0.5581860393285751
CMA-ES,2000,0.4933253546555837,0.46992744505405426,0.5184375643730164
CMA-ES,2250,0.4796379377444585,0.46245527267456055,0.50449338555336
CMA-ES,2500,0.459672287106514,0.4203847125172615,0.4969317391514778
CMA-ES,2750,0.4404024213552475,0.40954793244600296,0.48095039278268814
CMA-ES,3000,0.4304947058359782,0.395987793803215,0.46648310124874115
CMA-ES,3250,0.41329138179620106,0.381169356405735,0.44325901567935944
CMA-ES,3500,0.40404984454313914,0.3699652701616287,0.44104165583848953
CMA-ES,3750,0.3905850122372309,0.35883209854364395,0.4173643961548805
CMA-ES,4000,0.3777688066164652,0.34395281225442886,0.41136983782052994
CMA-ES,4250,0.36933598419030506,0.3388568162918091,0.40007808059453964
CMA-ES,4500,0.3582934548457464,0.33753639459609985,0.3837828189134598
CMA-ES,4750,0.3435124715169271,0.32145848870277405,0.37283337116241455
CMA-ES,5000,0.339115235209465,0.30699753761291504,0.36550913751125336
CMA-ES,5250,0.3237096796433131,0.29851722717285156,0.354242242872715
CMA-ES,5500,0.3150301287571589,0.2935486137866974,0.33779574930667877
CMA-ES,5750,0.30286429822444916,0.28841058164834976,0.3280869126319885
CMA-ES,6000,0.29492039084434507,0.27672380208969116,0.31321680545806885
CMA-ES,6250,0.28930389185746513,0.26776571571826935,0.30275749415159225
CMA-ES,6500,0.2786791409055392,0.25600773841142654,0.2990095242857933
CMA-ES,6750,0.2693739349643389,0.24790171533823013,0.29404962062835693
CMA-ES,7000,0.2603141590952873,0.23770024999976158,0.2880002558231354
CMA-ES,7250,0.25270346999168397,0.2198653519153595,0.2703346684575081
CMA-ES,7500,0.24297921607891718,0.21622298285365105,0.2667528986930847
CMA-ES,7750,0.2362387532989184,0.2065424509346485,0.25841251760721207
CMA-ES,8000,0.22894115100304285,0.20272132009267807,0.24768667295575142
CMA-ES,8250,0.21576394935448964,0.18729864805936813,0.24017826840281487
CMA-ES,8500,0.21311215112606685,0.18615160882472992,0.23816803842782974
CMA-ES,8750,0.20890019635359447,0.17994056269526482,0.23766617476940155
