optimiser,metaphor_based,seed,eval_count,objective,wallclock_s
WHOA,True,0,15000,0.11254934966564178,0.6286508999983198
WHOA,True,1,15000,0.12086836248636246,0.45861169999989215
WHOA,True,2,15000,0.2707255482673645,0.5006468999999925
WHOA,True,3,15000,0.10580793023109436,0.5267908999994688
WHOA,True,4,15000,0.12102387845516205,0.5424468999990495
WHOA,True,5,15000,0.11176828294992447,0.5189310999994632
WHOA,True,6,15000,0.17778067290782928,0.5463304999975662
WHOA,True,7,15000,0.1031685471534729,0.5736996000014187
WHOA,True,8,15000,0.16749481856822968,0.43696100000306615
WHOA,True,9,15000,0.123768150806427,0.4655373999994481
WHOA,True,10,15000,0.16188421845436096,0.4318395000009332
WHOA,True,11,15000,0.09782110899686813,0.3843559000015375
WHOA,True,12,15000,0.09908529371023178,0.35804840000128024
WHOA,True,13,15000,0.11235461384057999,0.41531689999828814
WHOA,True,14,15000,0.14567896723747253,0.42713259999800357
WHOA,True,15,15000,0.15781541168689728,0.4394009999996342
WHOA,True,16,15000,0.15439876914024353,0.43826939999780734
WHOA,True,17,15000,0.1321389377117157,0.4349383000007947
WHOA,True,18,15000,0.15587429702281952,0.44899269999950775
WHOA,True,19,15000,0.15167194604873657,0.49760560000140686
WHOA,True,20,15000,0.12899409234523773,0.5195638000004692
WHOA,True,21,15000,0.10349138081073761,0.5334849999999278
WHOA,True,22,15000,0.14024066925048828,0.5235595000012836
WHOA,True,23,15000,0.07677759975194931,0.5549102000004495
WHOA,True,24,15000,0.14266683161258698,0.537523400002101
WHOA,True,25,15000,0.09949253499507904,0.5159201000024041
WHOA,True,26,15000,0.13985399901866913,0.5229120000003604
WHOA,True,27,15000,0.16546092927455902,0.5469432999998389
WHOA,True,28,15000,0.2415444552898407,0.5379487999998673
WHOA,True,29,15000,0.28332898020744324,0.5378980000023148
GPC,True,0,15000,0.17572060227394104,0.33635919999869657
GPC,True,1,15000,0.14949320256710052,0.32255129999975907
GPC,True,2,15000,0.3812108039855957,0.3973776999991969
GPC,True,3,15000,0.1560269445180893,0.38308750000214786
GPC,True,4,15000,0.15250632166862488,0.39024979999885545
GPC,True,5,15000,0.19107908010482788,0.37741359999927226
GPC,True,6,15000,0.3014812469482422,0.38547429999744054
GPC,True,7,15000,0.2290087193250656,0.3627489000027708
GPC,True,8,15000,0.3382411301136017,0.3649498000013409
GPC,True,9,15000,0.17320941388607025,0.3786304999994172
GPC,True,10,15000,0.19226139783859253,0.38058839999939664
GPC,True,11,15000,0.3054654002189636,0.35678870000265306
GPC,True,12,15000,0.1909707486629486,0.3778788000017812
GPC,True,13,15000,0.18097493052482605,0.38678520000030403
GPC,True,14,15000,0.15812943875789642,0.38320009999733884
GPC,True,15,15000,0.19085755944252014,0.37927870000203256
GPC,True,16,15000,0.22067266702651978,0.38349809999999707
GPC,True,17,15000,0.13218264281749725,0.38320130000283825
GPC,True,18,15000,0.21113893389701843,0.36444290000144974
GPC,True,19,15000,0.3231698274612427,0.37405179999768734
GPC,True,20,15000,0.13658954203128815,0.38579570000001695
GPC,True,21,15000,0.17118734121322632,0.3888662999997905
GPC,True,22,15000,0.18038403987884521,0.36305260000153794
GPC,True,23,15000,0.14983893930912018,0.4116299000015715
GPC,True,24,15000,0.25608310103416443,0.2933250999994925
GPC,True,25,15000,0.15521827340126038,0.30609739999999874
GPC,True,26,15000,0.18314161896705627,0.32514720000108355
GPC,True,27,15000,0.1760006994009018,0.3152704999993148
GPC,True,28,15000,0.14888080954551697,0.2921855999993568
GPC,True,29,15000,0.16124306619167328,0.26826599999913014
Random search,False,0,15000,2.629086971282959,0.1224465000013879
Random search,False,1,15000,2.9986467361450195,0.1214432000015222
Random search,False,2,15000,2.3883869647979736,0.11978649999946356
Random search,False,3,15000,2.5812106132507324,0.11840870000014547
Random search,False,4,15000,2.011671304702759,0.11497510000117472
Random search,False,5,15000,1.7423080205917358,0.11532710000028601
Random search,False,6,15000,2.800281047821045,0.11712970000007772
Random search,False,7,15000,1.757726788520813,0.11407850000250619
Random search,False,8,15000,2.8162872791290283,0.11770220000107656
Random search,False,9,15000,2.3302533626556396,0.11595950000264565
Random search,False,10,15000,2.2902872562408447,0.11935310000262689
Random search,False,11,15000,2.4708850383758545,0.11673700000028475
Random search,False,12,15000,2.6594479084014893,0.11500209999940125
Random search,False,13,15000,1.6355454921722412,0.11388179999994463
Random search,False,14,15000,1.9992179870605469,0.1179100000008475
Random search,False,15,15000,2.003030776977539,0.11548290000064299
Random search,False,16,15000,2.8505351543426514,0.11486800000056974
Random search,False,17,15000,2.4459056854248047,0.11633469999651425
Random search,False,18,15000,2.128453016281128,0.1180674999995972
Random search,False,19,15000,2.509180784225464,0.11472839999987627
Random search,False,20,15000,2.6669538021087646,0.1156117999998969
Random search,False,21,15000,2.0887880325317383,0.11567670000295038
Random search,False,22,15000,2.3403310775756836,0.12019259999942733
Random search,False,23,15000,2.5494143962860107,0.1177386999988812
Random search,False,24,15000,2.3084216117858887,0.12074159999974654
Random search,False,25,15000,2.109238386154175,0.3262513999980001
Random search,False,26,15000,2.1287238597869873,0.8547340000004624
Random search,False,27,15000,2.2120327949523926,1.4189798999977938
Random search,False,28,15000,2.4364466667175293,1.561805400000594
Random search,False,29,15000,2.368323564529419,1.5873896999983117
CMA-ES,False,0,15000,0.10925423353910446,6.181923799998913
CMA-ES,False,1,15000,0.10680906474590302,4.864840999998705
CMA-ES,False,2,15000,0.15143097937107086,6.434198099999776
CMA-ES,False,3,15000,0.09332142770290375,4.4263313000010385
CMA-ES,False,4,15000,0.09180904179811478,5.0767706000006
CMA-ES,False,5,15000,0.08614513278007507,4.774880099997972
CMA-ES,False,6,15000,0.0824999213218689,4.603882299998077
CMA-ES,False,7,15000,0.11707957834005356,4.857242400001269
CMA-ES,False,8,15000,0.131261944770813,6.461270100000547
CMA-ES,False,9,15000,0.09663473814725876,4.725043300000834
CMA-ES,False,10,15000,0.10791544616222382,4.877225100000942
CMA-ES,False,11,15000,0.1284199208021164,5.447475400000258
CMA-ES,False,12,15000,0.09559177607297897,5.641092499998194
CMA-ES,False,13,15000,0.13775411248207092,4.9411309999995865
CMA-ES,False,14,15000,0.0943533182144165,4.306892000000516
CMA-ES,False,15,15000,0.09570904821157455,4.360611999996763
CMA-ES,False,16,15000,0.11536680161952972,4.507665500001167
CMA-ES,False,17,15000,0.11069843173027039,4.2898963000006916
CMA-ES,False,18,15000,0.10070892423391342,4.4169222000018635
CMA-ES,False,19,15000,0.10229390114545822,4.335568200000125
CMA-ES,False,20,15000,0.10188883543014526,4.608228199998848
CMA-ES,False,21,15000,0.13545003533363342,4.3582902000016475
CMA-ES,False,22,15000,0.16069842875003815,4.36521470000298
CMA-ES,False,23,15000,0.12639480829238892,4.331500000000233
CMA-ES,False,24,15000,0.08635087311267853,4.35635689999981
CMA-ES,False,25,15000,0.12716759741306305,4.4833399999988615
CMA-ES,False,26,15000,0.08477089554071426,4.4848596999981964
CMA-ES,False,27,15000,0.1013212651014328,4.424639299999399
CMA-ES,False,28,15000,0.11096728593111038,4.333595599997352
CMA-ES,False,29,15000,0.10345444083213806,4.528874300001917
TPE,False,0,15000,0.0806867778301239,5.414305800000875
TPE,False,1,15000,0.10250088572502136,5.170694699998421
TPE,False,2,15000,0.08270668983459473,5.180406800001947
TPE,False,3,15000,0.09208973497152328,5.205853200001002
TPE,False,4,15000,0.08429008722305298,5.267998500003159
TPE,False,5,15000,0.058540165424346924,5.281495100000029
TPE,False,6,15000,0.07424242794513702,5.204009900000528
TPE,False,7,15000,0.07969952374696732,5.446923699997569
TPE,False,8,15000,0.1003744900226593,5.247906000000512
TPE,False,9,15000,0.0689866915345192,5.452407299999322
TPE,False,10,15000,0.08621201664209366,5.293024000002333
TPE,False,11,15000,0.0789957121014595,5.288029199997254
TPE,False,12,15000,0.08613450080156326,5.265479599998798
TPE,False,13,15000,0.07852489501237869,5.246519899999839
TPE,False,14,15000,0.07284548878669739,5.060148099997605
TPE,False,15,15000,0.08219878375530243,5.109133199999633
TPE,False,16,15000,0.06614160537719727,5.456029500001023
TPE,False,17,15000,0.10683006048202515,5.403944900001079
TPE,False,18,15000,0.08278220891952515,5.2529020999973
TPE,False,19,15000,0.07891855388879776,5.364554000003409
TPE,False,20,15000,0.07464245706796646,7.513364200000069
TPE,False,21,15000,0.07076439261436462,8.155785000002652
TPE,False,22,15000,0.07963108271360397,8.34202809999988
TPE,False,23,15000,0.072987861931324,8.365627099999983
TPE,False,24,15000,0.07336274534463882,7.7099769999986165
TPE,False,25,15000,0.10868019610643387,8.048367600000347
TPE,False,26,15000,0.09557003527879715,7.936351799999102
TPE,False,27,15000,0.0861491709947586,7.44290390000242
TPE,False,28,15000,0.11065856367349625,7.697212499999296
TPE,False,29,15000,0.09855321049690247,7.546267999998236
Gradient descent,False,0,15000,0.0130454795435071,39.09273910000047
Gradient descent,False,1,15000,0.012943404726684093,36.22320590000163
Gradient descent,False,2,15000,0.012608278542757034,37.40626669999983
Gradient descent,False,3,15000,0.012542935088276863,37.529040800000075
Gradient descent,False,4,15000,0.01288186851888895,37.692315500000404
Gradient descent,False,5,15000,0.012875743210315704,37.315089300002
Gradient descent,False,6,15000,0.012831575237214565,36.28551879999941
Gradient descent,False,7,15000,0.012768917717039585,35.529465899999195
Gradient descent,False,8,15000,0.012734399177134037,36.14041179999913
Gradient descent,False,9,15000,0.012927357107400894,36.46219920000294
Gradient descent,False,10,15000,0.012751026079058647,36.73694930000056
Gradient descent,False,11,15000,0.012806698679924011,36.32977149999715
Gradient descent,False,12,15000,0.01278530154377222,36.34292640000058
Gradient descent,False,13,15000,0.012445110827684402,36.242689200000314
Gradient descent,False,14,15000,0.012872392311692238,37.177733000000444
