partition,record,class,count
incartdb,I01,N,2404
incartdb,I01,S,0
incartdb,I01,V,343
incartdb,I01,F,0
incartdb,I01,Q,0
incartdb,I02,N,2437
incartdb,I02,S,0
incartdb,I02,V,227
incartdb,I02,F,0
incartdb,I02,Q,0
incartdb,I03,N,2315
incartdb,I03,S,2
incartdb,I03,V,125
incartdb,I03,F,0
incartdb,I03,Q,0
incartdb,I04,N,2260
incartdb,I04,S,16
incartdb,I04,V,121
incartdb,I04,F,17
incartdb,I04,Q,0
incartdb,I05,N,1510
incartdb,I05,S,0
incartdb,I05,V,247
incartdb,I05,F,9
incartdb,I05,Q,0
incartdb,I06,N,2426
incartdb,I06,S,47
incartdb,I06,V,9
incartdb,I06,F,0
incartdb,I06,Q,0
incartdb,I07,N,2629
incartdb,I07,S,65
incartdb,I07,V,1
incartdb,I07,F,0
incartdb,I07,Q,0
incartdb,I08,N,1767
incartdb,I08,S,2
incartdb,I08,V,351
incartdb,I08,F,0
incartdb,I08,Q,1
incartdb,I09,N,2938
incartdb,I09,S,0
incartdb,I09,V,41
incartdb,I09,F,0
incartdb,I09,Q,0
incartdb,I10,N,3589
incartdb,I10,S,0
incartdb,I10,V,83
incartdb,I10,F,0
incartdb,I10,Q,0
incartdb,I11,N,2068
incartdb,I11,S,0
incartdb,I11,V,4
incartdb,I11,F,0
incartdb,I11,Q,0
incartdb,I12,N,2790
incartdb,I12,S,1
incartdb,I12,V,6
incartdb,I12,F,2
incartdb,I12,Q,0
incartdb,I13,N,1785
incartdb,I13,S,0
incartdb,I13,V,228
incartdb,I13,F,0
incartdb,I13,Q,0
incartdb,I14,N,1792
incartdb,I14,S,0
incartdb,I14,V,64
incartdb,I14,F,0
incartdb,I14,Q,0
incartdb,I15,N,2621
incartdb,I15,S,0
incartdb,I15,V,3
incartdb,I15,F,0
incartdb,I15,Q,0
incartdb,I16,N,1510
incartdb,I16,S,0
incartdb,I16,V,2
incartdb,I16,F,0
incartdb,I16,Q,0
incartdb,I17,N,1636
incartdb,I17,S,0
incartdb,I17,V,27
incartdb,I17,F,0
incartdb,I17,Q,0
incartdb,I18,N,2653
incartdb,I18,S,0
incartdb,I18,V,364
incartdb,I18,F,56
incartdb,I18,Q,0
incartdb,I19,N,1207
incartdb,I19,S,0
incartdb,I19,V,845
incartdb,I19,F,0
incartdb,I19,Q,0
incartdb,I20,N,2353
incartdb,I20,S,177
incartdb,I20,V,110
incartdb,I20,F,1
incartdb,I20,Q,0
incartdb,I21,N,2063
incartdb,I21,S,103
incartdb,I21,V,8
incartdb,I21,F,0
incartdb,I21,Q,0
incartdb,I22,N,2808
incartdb,I22,S,124
incartdb,I22,V,183
incartdb,I22,F,1
incartdb,I22,Q,0
incartdb,I23,N,2181
incartdb,I23,S,0
incartdb,I23,V,13
incartdb,I23,F,0
incartdb,I23,Q,0
incartdb,I24,N,2554
incartdb,I24,S,0
incartdb,I24,V,6
incartdb,I24,F,0
incartdb,I24,Q,0
incartdb,I25,N,1695
incartdb,I25,S,2
incartdb,I25,V,5
incartdb,I25,F,0
incartdb,I25,Q,0
incartdb,I26,N,1488
incartdb,I26,S,7
incartdb,I26,V,4
incartdb,I26,F,0
incartdb,I26,Q,0
incartdb,I27,N,1879
incartdb,I27,S,0
incartdb,I27,V,716
incartdb,I27,F,0
incartdb,I27,Q,0
incartdb,I28,N,1703
incartdb,I28,S,0
incartdb,I28,V,4
incartdb,I28,F,0
incartdb,I28,Q,0
incartdb,I29,N,1829
incartdb,I29,S,0
incartdb,I29,V,780
incartdb,I29,F,0
incartdb,I29,Q,1
incartdb,I30,N,1698
incartdb,I30,S,0
incartdb,I30,V,753
incartdb,I30,F,0
incartdb,I30,Q,0
incartdb,I31,N,1839
incartdb,I31,S,0
incartdb,I31,V,1360
incartdb,I31,F,0
incartdb,I31,Q,1
incartdb,I32,N,1552
incartdb,I32,S,0
incartdb,I32,V,57
incartdb,I32,F,0
incartdb,I32,Q,0
incartdb,I33,N,1236
incartdb,I33,S,590
incartdb,I33,V,1
incartdb,I33,F,0
incartdb,I33,Q,0
incartdb,I34,N,1419
incartdb,I34,S,536
incartdb,I34,V,0
incartdb,I34,F,0
incartdb,I34,Q,0
incartdb,I35,N,3194
incartdb,I35,S,0
incartdb,I35,V,454
incartdb,I35,F,18
incartdb,I35,Q,0
incartdb,I36,N,3439
incartdb,I36,S,0
incartdb,I36,V,450
incartdb,I36,F,12
incartdb,I36,Q,0
incartdb,I37,N,2001
incartdb,I37,S,0
incartdb,I37,V,450
incartdb,I37,F,0
incartdb,I37,Q,0
incartdb,I38,N,2147
incartdb,I38,S,0
incartdb,I38,V,541
incartdb,I38,F,0
incartdb,I38,Q,1
incartdb,I39,N,1452
incartdb,I39,S,0
incartdb,I39,V,313
incartdb,I39,F,0
incartdb,I39,Q,0
incartdb,I40,N,2558
incartdb,I40,S,6
incartdb,I40,V,92
incartdb,I40,F,0
incartdb,I40,Q,0
incartdb,I41,N,1614
incartdb,I41,S,5
incartdb,I41,V,1
incartdb,I41,F,0
incartdb,I41,Q,0
incartdb,I42,N,1540
incartdb,I42,S,0
incartdb,I42,V,1549
incartdb,I42,F,9
incartdb,I42,Q,0
incartdb,I43,N,1082
incartdb,I43,S,0
incartdb,I43,V,1115
incartdb,I43,F,2
incartdb,I43,Q,0
incartdb,I44,N,1797
incartdb,I44,S,8
incartdb,I44,V,680
incartdb,I44,F,0
incartdb,I44,Q,0
incartdb,I45,N,1429
incartdb,I45,S,0
incartdb,I45,V,488
incartdb,I45,F,0
incartdb,I45,Q,0
incartdb,I46,N,2222
incartdb,I46,S,1
incartdb,I46,V,421
incartdb,I46,F,3
incartdb,I46,Q,0
incartdb,I47,N,1849
incartdb,I47,S,1
incartdb,I47,V,92
incartdb,I47,F,0
incartdb,I47,Q,0
incartdb,I48,N,2111
incartdb,I48,S,2
incartdb,I48,V,233
incartdb,I48,F,1
incartdb,I48,Q,0
incartdb,I49,N,2110
incartdb,I49,S,0
incartdb,I49,V,27
incartdb,I49,F,0
incartdb,I49,Q,0
incartdb,I50,N,2983
incartdb,I50,S,0
incartdb,I50,V,4
incartdb,I50,F,0
incartdb,I50,Q,0
incartdb,I51,N,1964
incartdb,I51,S,3
incartdb,I51,V,798
incartdb,I51,F,1
incartdb,I51,Q,0
incartdb,I52,N,1600
incartdb,I52,S,0
incartdb,I52,V,137
incartdb,I52,F,0
incartdb,I52,Q,0
incartdb,I53,N,1146
incartdb,I53,S,0
incartdb,I53,V,1105
incartdb,I53,F,0
incartdb,I53,Q,0
