partition,record,class,count
DS2 test,100,N,2229
DS2 test,100,S,32
DS2 test,100,V,1
DS2 test,100,F,0
DS2 test,100,Q,0
DS1 validation subset,101,N,1850
DS1 validation subset,101,S,3
DS1 validation subset,101,V,0
DS1 validation subset,101,F,0
DS1 validation subset,101,Q,2
DS2 test,103,N,2071
DS2 test,103,S,2
DS2 test,103,V,0
DS2 test,103,F,0
DS2 test,103,Q,0
DS2 test,105,N,2516
DS2 test,105,S,0
DS2 test,105,V,41
DS2 test,105,F,0
DS2 test,105,Q,5
DS1 training subset,106,N,1497
DS1 training subset,106,S,0
DS1 training subset,106,V,520
DS1 training subset,106,F,0
DS1 training subset,106,Q,0
DS1 training subset,108,N,1730
DS1 training subset,108,S,4
DS1 training subset,108,V,17
DS1 training subset,108,F,2
DS1 training subset,108,Q,0
DS1 training subset,109,N,2481
DS1 training subset,109,S,0
DS1 training subset,109,V,38
DS1 training subset,109,F,2
DS1 training subset,109,Q,0
DS2 test,111,N,2113
DS2 test,111,S,0
DS2 test,111,V,1
DS2 test,111,F,0
DS2 test,111,Q,0
DS1 training subset,112,N,2526
DS1 training subset,112,S,2
DS1 training subset,112,V,0
DS1 training subset,112,F,0
DS1 training subset,112,Q,0
DS2 test,113,N,1778
DS2 test,113,S,6
DS2 test,113,V,0
DS2 test,113,F,0
DS2 test,113,Q,0
DS1 validation subset,114,N,1810
DS1 validation subset,114,S,12
DS1 validation subset,114,V,43
DS1 validation subset,114,F,4
DS1 validation subset,114,Q,0
DS1 training subset,115,N,1942
DS1 training subset,115,S,0
DS1 training subset,115,V,0
DS1 training subset,115,F,0
DS1 training subset,115,Q,0
DS1 training subset,116,N,2291
DS1 training subset,116,S,1
DS1 training subset,116,V,109
DS1 training subset,116,F,0
DS1 training subset,116,Q,0
DS2 test,117,N,1523
DS2 test,117,S,1
DS2 test,117,V,0
DS2 test,117,F,0
DS2 test,117,Q,0
DS1 training subset,118,N,2156
DS1 training subset,118,S,96
DS1 training subset,118,V,16
DS1 training subset,118,F,0
DS1 training subset,118,Q,0
DS1 training subset,119,N,1535
DS1 training subset,119,S,0
DS1 training subset,119,V,442
DS1 training subset,119,F,0
DS1 training subset,119,Q,0
DS2 test,121,N,1850
DS2 test,121,S,1
DS2 test,121,V,1
DS2 test,121,F,0
DS2 test,121,Q,0
DS1 training subset,122,N,2465
DS1 training subset,122,S,0
DS1 training subset,122,V,0
DS1 training subset,122,F,0
DS1 training subset,122,Q,0
DS2 test,123,N,1505
DS2 test,123,S,0
