partition,record,class,count
svdb,800,N,1836
svdb,800,S,30
svdb,800,V,6
svdb,800,F,1
svdb,800,Q,0
svdb,801,N,2170
svdb,801,S,66
svdb,801,V,263
svdb,801,F,0
svdb,801,Q,0
svdb,802,N,1575
svdb,802,S,0
svdb,802,V,85
svdb,802,F,0
svdb,802,Q,0
svdb,803,N,1914
svdb,803,S,0
svdb,803,V,143
svdb,803,F,1
svdb,803,Q,0
svdb,804,N,2642
svdb,804,S,0
svdb,804,V,181
svdb,804,F,0
svdb,804,Q,0
svdb,805,N,2081
svdb,805,S,0
svdb,805,V,207
svdb,805,F,0
svdb,805,Q,0
svdb,806,N,2942
svdb,806,S,40
svdb,806,V,29
svdb,806,F,2
svdb,806,Q,0
svdb,807,N,1902
svdb,807,S,29
svdb,807,V,0
svdb,807,F,0
svdb,807,Q,0
svdb,808,N,1736
svdb,808,S,20
svdb,808,V,8
svdb,808,F,0
svdb,808,Q,0
svdb,809,N,2421
svdb,809,S,112
svdb,809,V,0
svdb,809,F,0
svdb,809,Q,0
svdb,810,N,1828
svdb,810,S,8
svdb,810,V,56
svdb,810,F,0
svdb,810,Q,0
svdb,811,N,1395
svdb,811,S,1
svdb,811,V,28
svdb,811,F,1
svdb,811,Q,0
svdb,812,N,1751
svdb,812,S,14
svdb,812,V,67
svdb,812,F,0
svdb,812,Q,0
svdb,820,N,2153
svdb,820,S,184
svdb,820,V,3
svdb,820,F,0
svdb,820,Q,1
svdb,821,N,2472
svdb,821,S,613
svdb,821,V,36
svdb,821,F,0
svdb,821,Q,1
svdb,822,N,1668
svdb,822,S,655
svdb,822,V,1
svdb,822,F,0
svdb,822,Q,0
svdb,823,N,2469
svdb,823,S,382
svdb,823,V,0
svdb,823,F,0
svdb,823,Q,0
svdb,824,N,2207
svdb,824,S,195
svdb,824,V,7
svdb,824,F,0
svdb,824,Q,0
svdb,825,N,2644
svdb,825,S,143
svdb,825,V,0
svdb,825,F,0
svdb,825,Q,0
svdb,826,N,2571
svdb,826,S,80
svdb,826,V,0
svdb,826,F,0
svdb,826,Q,0
svdb,827,N,1834
svdb,827,S,18
svdb,827,V,0
svdb,827,F,0
svdb,827,Q,0
svdb,828,N,1749
svdb,828,S,148
svdb,828,V,6
svdb,828,F,0
svdb,828,Q,0
svdb,829,N,1876
svdb,829,S,80
svdb,829,V,0
svdb,829,F,0
svdb,829,Q,0
svdb,840,N,2331
svdb,840,S,44
svdb,840,V,1
svdb,840,F,0
svdb,840,Q,0
svdb,841,N,1482
svdb,841,S,105
svdb,841,V,254
svdb,841,F,0
svdb,841,Q,3
svdb,842,N,2384
svdb,842,S,104
svdb,842,V,61
svdb,842,F,0
svdb,842,Q,0
svdb,843,N,2639
svdb,843,S,21
svdb,843,V,37
svdb,843,F,0
svdb,843,Q,0
svdb,844,N,1640
svdb,844,S,59
svdb,844,V,0
svdb,844,F,0
svdb,844,Q,0
svdb,845,N,2821
svdb,845,S,24
svdb,845,V,30
svdb,845,F,0
svdb,845,Q,2
svdb,846,N,1650
svdb,846,S,20
svdb,846,V,0
svdb,846,F,0
svdb,846,Q,0
svdb,847,N,1657
svdb,847,S,51
svdb,847,V,43
svdb,847,F,0
svdb,847,Q,0
svdb,848,N,4217
svdb,848,S,30
svdb,848,V,1
svdb,848,F,0
svdb,848,Q,0
svdb,849,N,2049
svdb,849,S,74
svdb,849,V,6
svdb,849,F,0
svdb,849,Q,21
svdb,850,N,1820
svdb,850,S,7
svdb,850,V,0
svdb,850,F,0
svdb,850,Q,0
svdb,851,N,2161
svdb,851,S,32
svdb,851,V,424
svdb,851,F,0
svdb,851,Q,0
svdb,852,N,2324
svdb,852,S,321
svdb,852,V,9
svdb,852,F,0
svdb,852,Q,0
svdb,853,N,2097
svdb,853,S,48
svdb,853,V,63
svdb,853,F,0
svdb,853,Q,12
svdb,854,N,1783
svdb,854,S,460
svdb,854,V,475
svdb,854,F,0
svdb,854,Q,4
svdb,855,N,2029
svdb,855,S,224
svdb,855,V,275
svdb,855,F,0
svdb,855,Q,1
svdb,856,N,2802
svdb,856,S,12
svdb,856,V,28
svdb,856,F,0
svdb,856,Q,1
svdb,857,N,2394
svdb,857,S,36
svdb,857,V,143
svdb,857,F,0
svdb,857,Q,0
svdb,858,N,2159
svdb,858,S,8
svdb,858,V,3
svdb,858,F,0
svdb,858,Q,0
svdb,859,N,2999
svdb,859,S,69
svdb,859,V,463
svdb,859,F,0
svdb,859,Q,0
svdb,860,N,1665
svdb,860,S,17
svdb,860,V,725
svdb,860,F,0
svdb,860,Q,0
svdb,861,N,1866
svdb,861,S,568
svdb,861,V,27
svdb,861,F,0
svdb,861,Q,1
svdb,862,N,2124
svdb,862,S,26
svdb,862,V,23
svdb,862,F,0
svdb,862,Q,5
svdb,863,N,2554
svdb,863,S,320
svdb,863,V,239
svdb,863,F,0
svdb,863,Q,1
svdb,864,N,1734
svdb,864,S,19
svdb,864,V,132
svdb,864,F,0
svdb,864,Q,0
svdb,865,N,1092
svdb,865,S,1818
svdb,865,V,235
svdb,865,F,0
svdb,865,Q,7
svdb,866,N,2042
svdb,866,S,166
svdb,866,V,447
svdb,866,F,0
svdb,866,Q,0
svdb,867,N,2780
svdb,867,S,136
svdb,867,V,74
svdb,867,F,0
svdb,867,Q,0
svdb,868,N,2543
svdb,868,S,227
svdb,868,V,555
svdb,868,F,0
svdb,868,Q,11
svdb,869,N,1498
svdb,869,S,631
svdb,869,V,22
svdb,869,F,0
svdb,869,Q,0
svdb,870,N,1778
svdb,870,S,454
svdb,870,V,436
svdb,870,F,0
svdb,870,Q,0
svdb,871,N,1765
svdb,871,S,12
svdb,871,V,8
svdb,871,F,0
svdb,871,Q,0
svdb,872,N,1888
svdb,872,S,9
svdb,872,V,74
svdb,872,F,0
svdb,872,Q,0
svdb,873,N,1616
svdb,873,S,15
svdb,873,V,26
svdb,873,F,17
svdb,873,Q,0
svdb,874,N,2179
svdb,874,S,9
svdb,874,V,41
svdb,874,F,0
svdb,874,Q,0
svdb,875,N,1935
svdb,875,S,8
svdb,875,V,97
svdb,875,F,1
svdb,875,Q,0
svdb,876,N,1996
svdb,876,S,135
svdb,876,V,0
svdb,876,F,0
svdb,876,Q,0
svdb,877,N,1830
svdb,877,S,196
svdb,877,V,1
svdb,877,F,0
svdb,877,Q,0
svdb,878,N,1580
svdb,878,S,64
svdb,878,V,256
svdb,878,F,0
svdb,878,Q,0
svdb,879,N,1463
svdb,879,S,48
svdb,879,V,540
svdb,879,F,0
svdb,879,Q,0
svdb,880,N,3096
svdb,880,S,239
svdb,880,V,141
svdb,880,F,0
svdb,880,Q,0
svdb,881,N,1319
svdb,881,S,624
svdb,881,V,307
svdb,881,F,0
svdb,881,Q,3
svdb,882,N,1878
svdb,882,S,41
svdb,882,V,5
svdb,882,F,0
svdb,882,Q,0
svdb,883,N,1764
svdb,883,S,39
svdb,883,V,7
svdb,883,F,0
svdb,883,Q,0
svdb,884,N,2475
svdb,884,S,53
svdb,884,V,344
svdb,884,F,0
svdb,884,Q,1
svdb,885,N,1499
svdb,885,S,396
svdb,885,V,54
svdb,885,F,0
svdb,885,Q,1
svdb,886,N,2159
svdb,886,S,26
svdb,886,V,27
svdb,886,F,0
svdb,886,Q,0
svdb,887,N,2346
svdb,887,S,125
svdb,887,V,208
svdb,887,F,0
svdb,887,Q,1
svdb,888,N,2182
svdb,888,S,67
svdb,888,V,54
svdb,888,F,0
svdb,888,Q,0
svdb,889,N,1458
svdb,889,S,149
svdb,889,V,91
svdb,889,F,0
svdb,889,Q,0
svdb,890,N,1993
svdb,890,S,74
svdb,890,V,97
svdb,890,F,0
svdb,890,Q,0
svdb,891,N,2114
svdb,891,S,275
svdb,891,V,207
svdb,891,F,0
svdb,891,Q,0
svdb,892,N,1736
svdb,892,S,520
svdb,892,V,576
svdb,892,F,0
svdb,892,Q,1
svdb,893,N,2180
svdb,893,S,0
svdb,893,V,338
svdb,893,F,0
svdb,893,Q,0
svdb,894,N,2203
svdb,894,S,80
svdb,894,V,53
svdb,894,F,0
svdb,894,Q,1
